"df_per_year","max_lag","delta_QAIC","MMT","RR_cold_1st_pct","RR_heat_99th_pct","main_model"
6,14,154.4,23.1,"1.24 (1.18, 1.31)","1.13 (1.08, 1.18)",""
7,14,126.5,23.1,"1.25 (1.18, 1.32)","1.15 (1.09, 1.21)",""
8,14,69.5,22.9,"1.24 (1.18, 1.32)","1.16 (1.11, 1.22)",""
9,14,42.8,22.9,"1.22 (1.15, 1.30)","1.16 (1.09, 1.22)",""
10,14,14.1,22.9,"1.21 (1.14, 1.29)","1.20 (1.14, 1.27)",""
6,21,117.8,23.6,"1.26 (1.17, 1.34)","1.04 (0.99, 1.10)",""
7,21,95.5,23.9,"1.27 (1.18, 1.36)","1.04 (0.98, 1.11)",""
8,21,48.6,23.3,"1.27 (1.18, 1.36)","1.07 (1.00, 1.14)","<-"
9,21,21.3,23.3,"1.21 (1.12, 1.31)","1.04 (0.97, 1.12)",""
10,21,0,23.3,"1.20 (1.10, 1.31)","1.08 (1.00, 1.17)",""
6,28,134.6,22.8,"1.30 (1.20, 1.41)","1.07 (1.01, 1.14)",""
7,28,112.3,23,"1.32 (1.22, 1.44)","1.10 (1.01, 1.19)",""
8,28,56.5,22.4,"1.34 (1.22, 1.46)","1.18 (1.09, 1.29)",""
9,28,33.3,22.2,"1.26 (1.14, 1.40)","1.15 (1.05, 1.26)",""
10,28,11.9,22.6,"1.27 (1.13, 1.42)","1.23 (1.10, 1.37)",""
